label,c0,c1,c2,c3,c4,c5
462,臈,謅,臈,臈,譁,膠
463,頂,須,煨,頊,悵,㙊
464,彼,豉,玻,豉,陂,波
465,宏,麼,麽,麽,廏,縻
466,些,注,住,益,往,往
467,袢,祥,卆,紳,珅,坤
468,恵,恋,恵,怱,您,箆
469,闊,闋,鬧,闊,闋,鬧
470,奛,奛,奟,苢,芍,芿
471,懐,擴,壊,瓖,壤,瀼
472,諡,磴,蹬,嶝,皚,瞪
473,擄,欞,壚,壚,瀘,墟
474,浹,袂,梜,挟,狹,侠
475,皆,皆,皆,隺,音,㫖
476,答,笞,答,荅,答,符
477,剽,剷,劒,韌,剽,測
478,閤,聞,閤,闇,闍,聞
479,俶,淑,淞,俶,愀,淑
480,飡,煖,渣,湌,淒,飡
481,鹽,霄,諐,髻,警,警
482,膝,腴,膵,諛,腴,膵
483,鋕,硅,眭,哇,眭,眭
484,耨,縟,耨,咐,瞬,晰
485,咒,児,兒,兕,兒,皃
486,擁,梳,捷,擁,樲,樲
487,鵰,騠,跚,縣,廽,謳
488,災,皮,皮,支,昃,攴
489,撃,肇,肇,鼕,綮,攣
490,ㇾ,ソ,ワ,彡,ン,ヲ
491,槢,褶,幡,繙,磻,蟠
492,眗,晌,咆,昫,眴,胸
493,拡,迩,道,逆,疱,廸
494,錏,姪,經,銍,脛,脛
495,撻,撻,燵,撻,澾,澾
496,禰,穪,邢,邢,裲,裲
497,鑲,驤,嚝,鱆,竸,鏡
498,隂,隂,曖,噯,皧,曖
499,愧,慵,傭,慵,僡,傀
500,懴,殲,纎,懴,殲,讖
501,丱,油,伷,仙,伸,丱
502,ェ,ヵ,z,z,ェ,ャ
503,兀,X,F,2,お,E
504,枷,梛,螂,鄕,梛,卿
505,萊,蛬,苣,芨,莛,萁
506,稿,犒,熇,皜,搗,摘
507,濚,爍,鑠,櫟,濼,轢
508,雛,雕,骯,濰,雝,雛
509,壴,丘,壴,五,巳,己
510,誣,評,衄,延,延,誣
511,蝙,嫣,蝙,碌,娟,碌
512,獮,穐,穐,獵,猬,猙
513,喎,嗢,隘,隘,吶,咺
514,䋆,炉,筹,蓚,炉,枦
515,鏝,鰻,暑,曩,晨,縵
516,伉,拕,拕,忼,坑,銃
517,肛,胚,肛,胚,莊,壯
518,呼,吽,岼,岼,呷,呷
519,𥇍,啅,陳,皡,陣,啅
520,劾,就,刺,勊,勑,勍
521,李,牢,峯,隼,窂,窂
522,筌,瑩,箜,坴,室,奎
523,碍,罸,罸,屑,署,署
524,庪,痂,港,湔,洶,淘
525,槊,喿,暴,暴,梟,橤
526,芴,芴,苅,俯,苅,荷
527,赳,彪,赳,魁,﨣,尅
528,吤,吤,酊,祈,瓯,岏
529,鬲,琶,署,署,晑,焉
530,掻,搔,怪,捏,㭷,揺
531,秫,秋,㽗,畎,秫,邶
532,馮,淈,淈,潠,瑪,碼
533,匚,凹,四,凵,凹,四
534,酊,酛,靪,靪,鼾,籃
535,群,𩣆,騂,醉,醉,酢
536,堞,楳,樺,樺,揲,楪
537,瑁,玔,甽,明,瑁,昈
538,詩,諸,諸,鮪,跨,桍
539,薌,葹,個,湎,価,涸
540,慯,懵,樫,慳,房,摎
541,榒,棷,掫,棷,榒,鯢
542,諸,䐗,䐗,賭,睹,𦜝
543,椿,瑃,賰,鰆,媋,椿
544,溷,源,彘,遲,漏,渥
545,絹,絹,鋗,蜎,蠋,鐲
546,凳,髠,凳,髠,煦,煦
547,𡵅,甾,甬,侑,洧,洧
548,泪,洦,皕,沔,弜,沔
549,麥,変,姿,叟,変,変
550,載,赬,順,楓,傾,飆
551,坐,全,圭,士,全,士
552,篗,箵,篁,箋,篗,箞
553,掛,褷,穟,縦,穟,縱
554,獗,籏,簱,簱,旗,漿
555,嘿,啜,喝,啜,曙,曙
556,籾,籾,靼,尉,尉,朝
557,裏,裵,襄,裏,軣,寰
558,恌,珧,桃,烑,桃,挑
559,昤,朎,朎,盻,昤,吒
560,針,計,針,野,疑,鮃
561,寱,澟,懍,澟,濂,瘰
562,屣,屟,屧,腐,腐,庵
563,焦,雋,旃,烏,焦,拷
564,惱,懦,懦,擕,擢,擢
565,晞,睎,唏,晞,唏,嘇
566,劘,淝,颼,飃,飂,颸
567,斊,咠,耷,咠,耷,舜
568,碗,豌,婉,踠,婉,嫉
569,亀,訔,罍,畫,畺,愚
570,伍,伍,仍,伀,伀,仂
571,鱰,躍,糴,耀,羂,瞿
572,泝,忻,沂,泝,坼,沂
573,艚,蟥,艚,鐄,鐄,橫
574,履,屡,履,層,層,匵
575,邪,邵,郢,那,郢,卻
576,蓼,寥,翆,羇,翏,習
577,橐,竄,濉,燙,嚴,𧏾
578,臚,贐,謄,腫,腫,謔
579,厤,厤,珋,琊,琊,麻
580,鵃,鵢,鵊,𧜣,鴒,鵒
581,㤗,秦,奏,奏,泰,寮
582,担,桓,但,忋,炟,怛
583,俏,俏,惝,甸,甸,悄
584,馦,鹻,歸,馦,歸,膁
585,舂,春,戞,寡,戞,麞
586,膈,㗅,曚,矇,曚,獦
587,臽,学,嵒,美,岔,岔
588,迵,逎,廼,迥,迵,迵
589,蹣,蹣,議,豅,謫,脇
590,仙,汕,助,佃,汭,池
591,眩,眩,呟,昡,咜,呍
592,滂,滂,洿,届,丐,滂
593,藟,蕷,蒻,蔔,蕕,蓪
594,椁,惇,椁,摶,稕,惸
595,摚,褪,褪,鎚,縋,鎚
596,帒,夲,吉,吉,告,彷
597,塢,壒,痏,墸,壒,痏
598,榭,檞,槲,樹,蠏,檞
599,羊,拏,挲,𤘩,𢪸,罩
600,幵,虹,打,且,且,幵
601,詣,詣,諳,諳,始,詰
602,冢,冢,蒙,篆,篆,蘸
603,亘,旦,亘,每,毎,每
604,瞑,嘿,猽,猥,喂,隈
605,槎,襠,種,檔,檔,捕
606,紆,釘,飣,骭,皯,軒
607,讕,鐗,礀,弸,繝,獼
608,鈩,鉙,紀,鈳,飯,飼
609,設,殴,殁,歿,歿,沒
610,棹,掉,稸,㯃,楝,陳
611,坥,玘,坥,圯,坥,址
612,扎,扑,札,虬,扎,扑
613,胆,跙,年,詎,詛,岠
614,羗,恙,羐,笙,盖,恙
615,貴,夷,宸,袁,寅,賁
616,漠,渟,濟,湊,渟,渧
617,曷,曷,員,鼻,晃,㝵
618,菟,菟,蒿,蒿,藭,蔥
619,樛,樛,繆,熮,璆,繆
620,灥,鴦,蠢,鴦,矗,纛
621,甃,㐆,㐆,㐆,甃,瓮
622,潁,潁,頌,頣,類,𩒐
623,粷,鞠,粷,鞫,鞠,鞠
624,懝,儗,儗,纓,櫻,襤
625,儷,灩,攬,僊,攤,攤
626,著,綦,奢,各,薐,蓼
627,醴,髖,體,髖,虢,饁
628,玵,拑,玵,坩,玵,拑
629,鎞,靆,鰱,鏈,腱,腱
630,憓,渹,憓,憓,瀉,滴
631,鉑,絈,艏,勉,鉑,蜋
632,臍,牆,膰,臏,牆,膰
633,悾,挫,挫,倥,佇,倥
634,佪,侗,徊,洄,佪,侗
635,挐,挐,挈,挐,擘,翠
636,ナ,下,亍,卡,亻,I
637,樓,耬,耬,鏤,橦,潼
638,栢,桮,秤,柙,押,枰
639,蕁,朞,萆,蓴,葊,朞
640,薩,厝,屐,歴,暦,暦
641,餠,鉗,柑,拑,柑,紺
642,瀊,盒,眥,蠁,躄,營
643,服,眼,跟,服,眼,娘
644,髱,鼂,囂,蠹,靁,靁
645,託,奼,飥,飥,託,託
646,渉,淀,使,使,琁,琁
647,溧,溴,溴,偰,溴,傈
648,彎,膏,弯,臂,簿,孿
649,焯,竨,肄,肆,竨,肆
650,昏,昏,晋,香,香,㠯
651,豚,脉,肬,脬,胖,脬
652,済,桁,哘,衍,㤚,垳
653,詑,錧,紽,駝,駝,齣
654,庄,座,座,瘀,瘀,痞
655,達,徨,惶,煌,惶,痊
656,疸,瘴,瘴,痣,癕,瘞
657,摩,縻,糜,靡,廉,廣
658,踶,騶,鶸,鰡,驅,鵬
659,痛,痛,瘍,癩,璃,璃
660,嗎,嗎,隅,瑆,暒,睲
661,曦,曦,隊,喙,隊,喙
662,溂,倒,冽,冽,浰,淘
663,粳,粳,綆,硬,梗,梗
664,灯,灯,仈,耳,耳,灯
665,棬,捲,惓,椦,倦,惓
666,㟢,礜,礜,㟢,肯,得
667,冰,𡉕,泳,俅,怺,怺
668,試,鉞,栻,弑,拭,栻
669,懼,欖,欖,櫂,櫂,權
670,窘,曺,冨,塵,妻,褰
671,閧,閶,閻,閽,閽,閶
672,曺,胥,冒,曺,冐,哥
673,桂,袿,娃,絓,鮭,鮭
674,證,誼,諠,墜,墜,笙
675,眴,詣,胊,餉,胞,胊
676,戚,威,滅,彧,戚,減
677,蛤,紿,枯,岵,岵,岾
678,蜍,蛑,蛛,銖,蜍,蛛
